name,auroc,steer,steer_lo,steer_hi,override,ov_lo,ov_hi
probe; answer,0.7019,0.2433,0.1768,0.3122,0.2778,0.2070,0.3478
probe; prompt,0.6418,0.1839,0.1141,0.2539,0.2104,0.1375,0.2823
CAST condition; prompt,0.5083,0.1489,0.0868,0.2133,0.0490,0.0019,0.0975
direction; answer (400 labels),0.6273,0.2971,0.2262,0.3681,0.1337,0.0619,0.2065
direction; answer (4;400 labels),0.6125,0.2099,0.1444,0.2784,0.1598,0.0884,0.2301
