t,auroc,lo,hi
0,0.7607,0.7401,0.7802
16,0.7243,0.7021,0.7455
32,0.7214,0.6988,0.7433
64,0.7251,0.7009,0.7466
128,0.7590,0.7373,0.7793
256,0.7854,0.7654,0.8041
