x,y,state
24.10,2.57,nonconfident_wrong
35.24,-3.10,confident_right
25.85,-5.30,confident_right
34.71,1.90,overconfident_wrong
55.54,-21.96,confident_right
46.80,-14.36,nonconfident_wrong
40.43,-15.48,confident_right
30.75,-2.95,confident_right
38.05,-7.72,overconfident_wrong
43.47,-4.35,nonconfident_right
32.32,0.77,confident_right
30.79,4.52,overconfident_wrong
33.79,8.88,overconfident_wrong
18.45,-14.12,nonconfident_wrong
20.41,-5.80,nonconfident_wrong
35.46,-4.40,nonconfident_wrong
11.99,-8.57,nonconfident_wrong
51.72,-7.78,nonconfident_wrong
31.79,3.48,confident_right
34.29,-5.01,confident_right
47.50,-24.61,confident_right
31.16,-6.24,nonconfident_right
33.77,-0.55,confident_right
35.24,-6.48,nonconfident_right
31.34,-0.57,nonconfident_right
41.35,0.46,overconfident_wrong
56.92,-26.06,confident_right
23.98,-0.60,nonconfident_right
34.68,-5.01,nonconfident_right
37.03,2.61,overconfident_wrong
28.19,-6.17,nonconfident_right
44.01,2.78,overconfident_wrong
37.31,-3.79,nonconfident_wrong
47.67,-6.83,overconfident_wrong
46.56,-18.63,confident_right
-4.51,23.17,nonconfident_wrong
53.38,-17.18,confident_right
46.38,-7.80,nonconfident_wrong
24.61,14.37,nonconfident_right
-4.23,5.96,nonconfident_wrong
31.42,-4.79,nonconfident_wrong
31.99,-1.48,nonconfident_wrong
20.21,4.28,nonconfident_wrong
48.15,-21.93,confident_right
45.11,-13.66,nonconfident_right
35.63,-2.14,nonconfident_wrong
29.08,8.24,overconfident_wrong
6.70,3.60,nonconfident_wrong
35.91,-0.10,nonconfident_right
25.23,1.94,nonconfident_wrong
35.96,-4.46,overconfident_wrong
45.21,-19.43,confident_right
25.10,-2.10,overconfident_wrong
24.83,3.83,nonconfident_wrong
33.22,1.73,confident_right
21.12,1.08,nonconfident_wrong
7.21,-8.73,nonconfident_right
32.12,-1.89,nonconfident_right
44.06,-10.40,confident_right
44.43,5.13,overconfident_wrong
47.12,-0.14,overconfident_wrong
40.33,-5.12,overconfident_wrong
11.07,7.85,overconfident_wrong
34.79,-17.55,confident_right
51.23,-24.16,nonconfident_right
14.82,7.05,nonconfident_right
53.36,-8.71,confident_right
55.37,-17.60,confident_right
40.21,-4.61,confident_right
32.84,5.33,overconfident_wrong
25.51,11.13,nonconfident_wrong
30.48,6.31,nonconfident_wrong
17.06,-1.66,nonconfident_right
53.81,-10.57,overconfident_wrong
44.53,2.87,overconfident_wrong
43.20,-10.14,overconfident_wrong
31.43,0.71,nonconfident_wrong
12.47,-8.23,nonconfident_right
54.56,-15.70,confident_right
7.95,2.82,nonconfident_wrong
36.65,-11.95,nonconfident_right
49.83,-16.31,nonconfident_right
