name,auroc,steer,steer_lo,steer_hi,override,ov_lo,ov_hi
probe; answer,0.7411,0.3199,0.2812,0.3591,0.3230,0.2843,0.3622
probe; prompt,0.7203,0.2725,0.2351,0.3096,0.3043,0.2652,0.3436
CAST condition; prompt,0.6312,0.1974,0.1598,0.2352,0.2007,0.1604,0.2415
direction; answer (400 labels),0.6687,0.2717,0.2330,0.3111,0.2229,0.1829,0.2625
direction; answer (4;400 labels),0.6980,0.2454,0.2070,0.2839,0.2579,0.2185,0.2978
