x,y
43.23,-17.85
47.18,-10.94
52.39,-30.40
43.06,-11.59
40.47,-14.99
46.70,-15.63
48.76,-31.29
49.20,-20.98
47.69,-13.95
47.05,-15.79
39.61,-15.82
37.05,-18.60
37.97,-12.58
36.91,-12.77
42.37,-12.38
45.55,-20.86
41.17,-10.09
52.25,-26.92
57.98,-25.86
47.63,-18.48
37.65,-13.42
42.27,-23.48
45.04,-28.89
34.87,-16.68
45.03,-17.11
48.99,-12.21
47.99,-25.34
41.11,-18.19
50.09,-25.23
