x,y
45.20,-7.99
45.85,-23.58
42.75,-7.07
41.04,-5.57
42.99,-15.87
53.71,-24.38
41.72,-6.23
31.69,-2.67
26.56,2.83
36.44,0.31
40.40,-10.73
37.93,-0.51
35.69,-4.81
37.79,-8.94
22.12,2.98
37.86,-1.91
40.14,-13.51
33.98,4.52
42.31,-20.53
38.28,3.15
48.25,-14.63
35.49,-17.63
49.76,-17.45
33.96,-9.08
35.65,-9.82
44.01,-8.21
41.08,-14.72
45.81,-13.88
40.19,-15.68
47.66,-20.41
31.74,-6.69
30.09,0.71
28.59,2.19
42.31,-11.92
45.82,-10.71
36.20,-8.73
42.13,-6.64
