x,y,u,v,state,changed
14.04,5.40,-35.63,12.44,nonconfident_wrong,1
37.91,-5.44,-9.55,1.80,nonconfident_wrong,1
29.31,3.64,-27.59,10.23,nonconfident_right,1
33.11,10.52,-36.34,5.79,nonconfident_right,1
49.72,-20.17,0.00,0.00,nonconfident_wrong,0
30.01,-15.20,0.00,0.00,overconfident_wrong,0
33.36,4.84,-27.56,13.37,overconfident_wrong,1
17.62,0.06,-1.31,-5.39,nonconfident_right,1
-0.55,7.01,-12.29,6.47,nonconfident_right,1
12.06,9.35,-19.18,5.10,nonconfident_wrong,1
47.05,-15.79,0.00,0.00,confident_right,0
44.77,-26.88,0.00,0.00,nonconfident_right,0
16.83,4.38,-25.34,8.78,nonconfident_right,1
39.61,-15.82,0.00,0.00,confident_right,0
37.05,-18.60,0.00,0.00,confident_right,0
14.08,-11.91,0.00,0.00,nonconfident_wrong,0
25.35,5.51,-16.33,-15.69,confident_right,1
28.86,-1.71,-28.57,14.10,overconfident_wrong,1
35.78,-9.91,-43.38,22.30,confident_right,1
16.68,-1.16,-19.28,8.04,confident_right,1
-8.39,11.21,0.58,-6.30,nonconfident_wrong,1
17.32,7.71,-16.29,-2.49,nonconfident_wrong,1
36.32,-3.61,-38.40,14.73,confident_right,1
33.47,-0.93,-40.71,17.41,confident_right,1
25.63,1.12,-19.18,0.28,overconfident_wrong,1
37.97,-12.58,0.00,0.00,confident_right,0
53.22,-20.58,0.00,0.00,nonconfident_wrong,0
36.91,-12.77,0.00,0.00,confident_right,0
36.85,-8.81,1.29,-6.99,overconfident_wrong,1
45.40,-4.53,-40.14,8.04,nonconfident_wrong,1
-0.62,13.49,4.55,-12.63,nonconfident_wrong,1
48.36,-8.51,-53.10,16.89,confident_right,1
9.96,4.66,-17.65,1.60,nonconfident_right,1
31.30,12.74,-23.30,-12.75,nonconfident_right,1
22.08,7.11,-15.89,-9.98,confident_right,1
32.75,-3.41,-26.40,5.58,confident_right,1
42.51,-8.37,-39.20,10.43,nonconfident_wrong,1
36.08,15.18,-24.81,-17.15,overconfident_wrong,1
36.35,-9.52,-41.19,19.07,overconfident_wrong,1
43.95,-5.77,-47.22,12.40,overconfident_wrong,1
23.58,8.22,-17.77,-2.53,nonconfident_right,1
14.31,1.60,-11.98,-2.52,nonconfident_wrong,1
49.20,-21.47,0.00,0.00,overconfident_wrong,0
33.60,-11.36,0.00,0.00,nonconfident_right,0
25.70,-4.96,-28.49,16.74,confident_right,1
42.37,-12.38,0.00,0.00,confident_right,0
18.59,6.20,-22.71,2.91,nonconfident_right,1
43.55,-3.96,-32.89,1.25,confident_right,1
36.15,-7.70,-36.92,14.74,overconfident_wrong,1
10.44,-1.52,-19.55,11.99,nonconfident_wrong,1
25.04,1.43,-34.26,20.41,nonconfident_wrong,1
45.55,-20.86,0.00,0.00,confident_right,0
30.16,-1.24,-37.03,16.57,overconfident_wrong,1
14.85,-13.19,0.00,0.00,nonconfident_wrong,0
