x,y,state
35.49,-17.63,overconfident_wrong
34.28,-7.96,confident_right
38.74,-11.58,confident_right
38.57,-5.35,confident_right
49.76,-17.45,overconfident_wrong
33.96,-9.08,overconfident_wrong
36.24,-8.21,confident_right
36.66,-5.43,nonconfident_wrong
35.65,-9.82,overconfident_wrong
32.84,-6.26,nonconfident_wrong
30.25,-3.03,nonconfident_wrong
44.01,-8.21,overconfident_wrong
49.43,-28.74,confident_right
43.29,-8.30,confident_right
46.13,-15.58,confident_right
45.85,-24.96,confident_right
34.40,-2.64,confident_right
41.08,-14.72,overconfident_wrong
36.81,-17.43,nonconfident_right
51.14,-18.64,confident_right
48.80,-24.99,nonconfident_wrong
43.99,-17.94,confident_right
40.14,-4.29,confident_right
32.50,-1.61,nonconfident_wrong
41.52,-8.03,nonconfident_right
45.26,-13.80,confident_right
36.37,-9.47,nonconfident_wrong
39.19,-9.48,nonconfident_wrong
45.79,-10.90,confident_right
31.36,-8.53,nonconfident_right
35.14,-9.67,confident_right
34.23,-6.02,confident_right
37.84,-14.72,confident_right
42.34,-13.09,confident_right
29.29,5.78,nonconfident_wrong
44.92,-13.25,confident_right
24.67,7.33,nonconfident_wrong
49.47,-17.85,confident_right
45.81,-13.88,overconfident_wrong
40.19,-15.68,overconfident_wrong
32.15,-11.33,confident_right
33.45,-4.82,nonconfident_right
40.89,-17.87,confident_right
48.32,-24.38,confident_right
25.60,1.41,nonconfident_wrong
45.84,-12.37,confident_right
27.56,-8.85,nonconfident_wrong
40.96,-9.42,confident_right
47.66,-20.41,overconfident_wrong
25.81,2.90,confident_right
26.96,-7.19,confident_right
34.92,-8.30,nonconfident_right
37.17,-1.61,nonconfident_wrong
22.11,-4.99,nonconfident_wrong
45.70,-27.92,confident_right
31.74,-6.69,overconfident_wrong
25.33,-3.26,confident_right
42.81,-18.07,confident_right
40.46,-14.96,nonconfident_right
30.09,0.71,overconfident_wrong
28.68,-4.89,confident_right
43.08,-12.85,confident_right
34.89,-3.50,confident_right
49.91,-11.69,confident_right
47.31,-10.42,confident_right
35.69,-6.33,nonconfident_right
37.56,-24.06,confident_right
28.59,2.19,overconfident_wrong
39.17,-2.92,confident_right
49.55,-17.63,confident_right
15.75,-12.19,nonconfident_wrong
45.58,-14.74,confident_right
33.76,-9.04,confident_right
41.91,-3.39,confident_right
42.08,-19.48,confident_right
34.89,-4.16,nonconfident_wrong
42.31,-11.92,overconfident_wrong
6.68,4.85,nonconfident_wrong
45.82,-10.71,overconfident_wrong
37.96,-1.86,nonconfident_wrong
41.40,-20.17,nonconfident_wrong
37.66,-19.42,confident_right
36.92,-2.98,nonconfident_wrong
38.24,-1.17,confident_right
27.11,6.50,nonconfident_wrong
38.59,-6.17,nonconfident_wrong
32.05,-7.12,confident_right
43.67,-9.02,confident_right
35.91,7.92,confident_right
41.09,-14.80,nonconfident_right
42.64,-11.15,nonconfident_right
8.43,-1.58,confident_right
17.32,-2.75,confident_right
36.74,-5.64,confident_right
35.02,-7.46,nonconfident_wrong
42.16,-22.34,nonconfident_right
36.28,-8.86,confident_right
36.05,-13.61,confident_right
36.69,-6.24,nonconfident_wrong
31.68,-4.96,nonconfident_wrong
43.92,-9.44,confident_right
54.57,-26.03,nonconfident_wrong
44.24,-13.08,confident_right
43.47,-16.34,confident_right
46.07,-17.20,nonconfident_wrong
0.34,-2.55,nonconfident_right
45.16,-24.82,confident_right
42.45,-28.27,confident_right
49.49,-23.90,confident_right
12.89,-3.75,nonconfident_wrong
32.83,-5.56,nonconfident_right
46.09,-11.90,confident_right
46.46,-16.30,confident_right
49.15,-23.92,confident_right
32.14,-1.47,nonconfident_right
22.40,3.23,confident_right
27.99,0.05,confident_right
36.20,-8.73,overconfident_wrong
38.88,-10.98,nonconfident_wrong
42.05,-9.83,confident_right
49.48,-15.60,confident_right
37.19,-5.74,nonconfident_right
42.13,-6.64,overconfident_wrong
