x,y,u,v,state,changed
14.04,5.40,-2.09,-0.06,nonconfident_wrong,1
37.91,-5.44,-5.23,6.02,nonconfident_wrong,1
29.31,3.64,4.59,-8.94,nonconfident_right,1
33.11,10.52,-9.18,-1.84,nonconfident_right,1
49.72,-20.17,-0.51,-1.35,nonconfident_wrong,1
30.01,-15.20,-0.82,9.49,overconfident_wrong,1
33.36,4.84,0.00,0.00,overconfident_wrong,0
17.62,0.06,0.00,0.00,nonconfident_right,0
-0.55,7.01,-4.85,2.26,nonconfident_right,1
12.06,9.35,-15.41,8.56,nonconfident_wrong,1
47.05,-15.79,-3.28,-4.64,confident_right,1
44.77,-26.88,3.60,7.93,nonconfident_right,1
16.83,4.38,3.36,-6.87,nonconfident_right,1
39.61,-15.82,-2.09,0.70,confident_right,1
37.05,-18.60,0.75,-1.49,confident_right,1
14.08,-11.91,-0.07,0.06,nonconfident_wrong,1
25.35,5.51,-3.84,-2.83,confident_right,1
28.86,-1.71,-2.13,2.39,overconfident_wrong,1
35.78,-9.91,-3.28,5.46,confident_right,1
16.68,-1.16,0.41,-0.84,confident_right,1
-8.39,11.21,3.59,-3.18,nonconfident_wrong,1
17.32,7.71,-4.24,0.99,nonconfident_wrong,1
36.32,-3.61,0.93,-1.98,confident_right,1
33.47,-0.93,0.66,2.70,confident_right,1
25.63,1.12,0.33,-1.29,overconfident_wrong,1
37.97,-12.58,-0.85,1.51,confident_right,1
53.22,-20.58,1.34,7.78,nonconfident_wrong,1
36.91,-12.77,-0.81,0.72,confident_right,1
36.85,-8.81,0.00,0.00,overconfident_wrong,0
45.40,-4.53,-0.76,-1.19,nonconfident_wrong,1
-0.62,13.49,8.09,-7.05,nonconfident_wrong,1
48.36,-8.51,0.42,-0.99,confident_right,1
9.96,4.66,0.53,-1.45,nonconfident_right,1
31.30,12.74,12.67,-19.41,nonconfident_right,1
22.08,7.11,10.73,-4.17,confident_right,1
32.75,-3.41,-1.39,-1.19,confident_right,1
42.51,-8.37,1.90,-4.30,nonconfident_wrong,1
36.08,15.18,-0.66,-10.21,overconfident_wrong,1
