x,y,u,v,state,changed
33.85,1.75,3.52,-6.94,nonconfident_wrong,1
21.76,-1.75,-6.94,1.39,nonconfident_wrong,1
37.93,-5.48,-5.09,6.29,nonconfident_wrong,1
34.45,-1.99,-1.38,2.05,nonconfident_wrong,1
31.17,12.09,-0.25,0.09,nonconfident_wrong,1
49.67,-20.12,-0.46,-1.41,nonconfident_wrong,1
32.96,-12.70,-4.50,0.69,overconfident_wrong,1
33.40,4.80,0.00,0.00,overconfident_wrong,0
17.65,0.01,0.00,0.00,nonconfident_right,0
-0.57,7.05,1.28,0.29,nonconfident_wrong,1
-1.45,14.52,12.42,-5.36,nonconfident_wrong,1
47.00,-15.76,-5.82,0.47,confident_right,1
44.70,-26.83,4.29,5.86,nonconfident_right,1
16.89,4.27,3.48,-6.46,nonconfident_wrong,1
39.60,-15.83,-2.17,2.81,confident_right,1
37.01,-18.56,0.84,-1.58,confident_right,1
14.00,-11.83,0.00,0.00,nonconfident_wrong,0
28.42,0.98,2.41,-6.66,nonconfident_right,1
28.82,-1.71,-2.06,2.39,overconfident_wrong,1
35.75,-9.86,-2.18,5.39,confident_right,1
16.96,-2.89,2.19,-7.80,confident_right,1
-4.14,6.92,3.44,-1.77,nonconfident_wrong,1
17.33,7.74,1.59,-2.16,nonconfident_right,1
36.33,-3.59,1.03,-4.59,confident_right,1
33.43,-0.91,-0.67,4.17,confident_right,1
25.00,0.38,0.59,-0.56,overconfident_wrong,1
37.92,-12.56,-0.67,2.22,nonconfident_right,1
53.19,-20.57,0.98,-1.54,nonconfident_wrong,1
36.87,-12.75,-12.87,19.41,confident_right,1
36.85,-8.78,0.00,0.00,overconfident_wrong,0
41.99,0.09,1.33,-4.86,nonconfident_wrong,1
10.67,11.42,-3.26,-4.82,nonconfident_wrong,1
48.38,-8.93,0.38,-0.55,confident_right,1
10.06,4.79,5.91,-6.44,nonconfident_right,1
31.44,13.06,4.03,-5.80,nonconfident_wrong,1
23.19,2.64,10.40,0.09,nonconfident_right,1
32.12,-6.90,-0.13,2.62,confident_right,1
39.34,-7.20,5.43,-5.13,nonconfident_wrong,1
39.49,11.68,-3.85,-1.79,overconfident_wrong,1
34.99,3.27,3.14,-5.66,overconfident_wrong,1
47.29,-7.52,-12.75,9.61,overconfident_wrong,1
31.66,7.56,-23.99,9.81,nonconfident_wrong,1
14.31,1.59,0.49,-0.55,nonconfident_wrong,1
46.97,-15.47,-7.46,1.12,overconfident_wrong,1
33.59,-11.31,-0.63,1.47,nonconfident_right,1
26.10,-3.12,2.86,-1.20,confident_right,1
42.39,-12.41,-0.18,0.11,confident_right,1
19.75,5.29,-1.30,-6.57,nonconfident_wrong,1
42.35,-3.26,11.51,-19.69,confident_right,1
36.14,-7.69,-5.25,7.89,overconfident_wrong,1
10.40,-1.49,0.17,-2.90,nonconfident_wrong,1
21.93,3.43,3.91,-5.52,nonconfident_wrong,1
45.60,-20.82,-0.05,1.22,confident_right,1
29.58,0.27,-1.27,-1.76,overconfident_wrong,1
14.92,-13.21,-0.20,-1.87,overconfident_wrong,1
38.60,-7.03,-7.26,6.73,confident_right,1
35.71,-5.12,0.24,0.84,nonconfident_right,1
53.99,-30.82,-1.64,6.96,confident_right,1
6.41,6.34,-1.08,0.18,nonconfident_wrong,1
-2.52,2.12,5.70,-3.30,nonconfident_wrong,1
57.31,-24.42,-7.62,12.52,confident_right,1
28.25,-12.86,-8.02,10.60,nonconfident_right,1
32.54,-1.22,-0.01,6.66,overconfident_wrong,1
23.43,1.07,-4.97,1.72,nonconfident_right,1
49.58,-12.81,-1.77,-0.70,nonconfident_right,1
29.58,-5.87,-1.40,3.78,nonconfident_right,1
42.57,-10.46,-1.67,1.78,nonconfident_right,1
12.86,11.42,1.81,-2.70,nonconfident_wrong,1
33.49,-3.90,2.61,0.26,nonconfident_wrong,1
2.74,4.91,-6.84,5.17,nonconfident_right,1
36.14,-6.72,0.61,0.56,nonconfident_right,1
35.61,-14.94,-6.34,-0.14,nonconfident_right,1
47.64,-18.50,0.42,-1.08,confident_right,1
31.97,6.50,-1.16,-0.78,overconfident_wrong,1
36.47,-8.71,1.68,-6.56,nonconfident_wrong,1
35.89,-6.21,1.78,-2.17,overconfident_wrong,1
37.80,5.08,-2.02,-0.11,overconfident_wrong,1
-4.31,16.02,16.12,-3.48,nonconfident_wrong,1
31.25,-4.23,1.83,-3.98,nonconfident_wrong,1
40.44,11.42,6.95,-10.27,confident_right,1
29.00,9.02,0.20,1.39,overconfident_wrong,1
23.72,0.04,2.16,-1.19,nonconfident_wrong,1
33.50,0.48,0.22,-6.07,overconfident_wrong,1
45.16,-2.59,1.30,-2.24,nonconfident_right,1
27.71,-0.29,0.10,-0.18,confident_right,1
38.55,-9.08,-4.19,3.58,nonconfident_wrong,1
34.25,-3.81,3.66,-2.00,nonconfident_wrong,1
43.12,-22.52,-4.06,15.26,nonconfident_right,1
21.34,1.70,-3.69,-1.23,nonconfident_right,1
45.29,-17.46,-0.05,0.07,nonconfident_right,1
29.16,-2.05,0.38,-0.13,nonconfident_right,1
46.13,2.91,0.95,-2.42,overconfident_wrong,1
21.46,-17.46,1.73,-0.76,nonconfident_wrong,1
39.12,-13.44,-1.51,-2.51,confident_right,1
37.49,-18.36,0.62,-0.48,nonconfident_wrong,1
21.77,3.15,1.27,-2.00,nonconfident_wrong,1
39.86,-10.11,0.00,0.00,nonconfident_wrong,0
11.91,3.28,1.85,-0.97,nonconfident_wrong,1
35.27,-1.49,9.90,-18.47,overconfident_wrong,1
45.32,-10.32,-2.37,4.26,confident_right,1
23.27,-7.68,-6.06,0.20,nonconfident_wrong,1
14.15,-4.19,-2.85,2.86,nonconfident_right,1
23.30,-4.56,1.11,1.82,confident_right,1
27.58,2.39,0.68,-1.38,nonconfident_right,1
39.28,-13.11,0.00,0.00,confident_right,0
10.58,-12.49,-1.36,1.69,nonconfident_wrong,1
38.18,8.28,2.13,-5.50,nonconfident_right,1
7.65,-9.24,0.11,-1.52,nonconfident_right,1
29.99,8.45,1.74,-6.53,overconfident_wrong,1
33.33,-9.20,0.42,-2.41,nonconfident_wrong,1
1.45,7.90,1.39,-0.67,nonconfident_right,1
42.20,-23.30,-2.70,9.47,confident_right,1
31.23,7.98,-3.39,3.28,nonconfident_right,1
40.87,3.21,0.40,-0.80,nonconfident_wrong,1
26.24,-2.16,0.30,-0.21,nonconfident_wrong,1
-2.19,11.60,-1.07,-1.54,nonconfident_wrong,1
14.12,-4.82,2.17,-0.25,nonconfident_wrong,1
25.05,10.74,1.64,2.46,nonconfident_right,1
45.68,-4.74,-0.91,-3.03,nonconfident_right,1
48.00,-6.02,0.19,-0.80,nonconfident_wrong,1
31.49,2.56,-1.80,-1.29,nonconfident_wrong,1
49.55,-19.72,-0.78,0.47,nonconfident_right,1
38.10,-13.47,-3.52,7.87,nonconfident_wrong,1
24.80,-7.43,0.69,-1.23,nonconfident_right,1
20.97,8.55,-1.24,2.85,nonconfident_right,1
42.66,-2.26,0.23,0.59,nonconfident_wrong,1
22.75,-4.65,1.31,-2.81,nonconfident_right,1
48.89,-27.46,0.00,0.00,confident_right,0
34.87,-16.65,1.02,-1.83,confident_right,1
41.17,-10.89,-2.94,-1.98,nonconfident_wrong,1
24.84,-6.95,0.66,-0.37,nonconfident_wrong,1
47.89,-14.44,0.47,-0.95,confident_right,1
38.13,-2.17,0.89,8.75,confident_right,1
34.26,4.05,2.11,-5.20,nonconfident_wrong,1
42.47,5.68,1.19,-0.54,nonconfident_wrong,1
36.16,1.74,-1.07,-1.79,nonconfident_wrong,1
36.16,-11.43,-5.77,1.82,nonconfident_wrong,1
