x,y,u,v,state,changed
4.35,-1.91,-18.67,12.88,nonconfident_wrong,1
5.08,3.21,-6.56,-0.70,nonconfident_wrong,1
41.83,-6.16,-35.42,10.42,overconfident_wrong,1
21.44,10.25,-22.54,3.61,nonconfident_wrong,1
52.67,-17.24,0.00,0.00,confident_right,0
37.73,1.96,-44.62,13.60,nonconfident_right,1
31.51,-1.65,-30.37,7.78,overconfident_wrong,1
44.01,-16.50,0.00,0.00,confident_right,0
40.49,-9.88,-36.80,18.25,confident_right,1
43.14,-11.15,0.00,0.00,confident_right,0
30.55,3.54,-25.77,-1.62,nonconfident_wrong,1
47.86,-14.19,0.00,0.00,nonconfident_wrong,0
18.56,6.67,-29.38,9.48,nonconfident_right,1
40.44,-14.92,0.00,0.00,confident_right,0
43.21,-5.64,-33.45,-5.65,overconfident_wrong,1
46.70,-15.60,0.00,0.00,confident_right,0
27.51,8.28,-23.03,1.30,nonconfident_right,1
16.04,8.35,-19.64,2.81,nonconfident_wrong,1
31.75,-6.43,-23.74,-4.65,overconfident_wrong,1
42.92,-3.53,-31.53,5.01,nonconfident_wrong,1
51.75,-28.36,0.00,0.00,nonconfident_wrong,0
54.37,-23.47,0.00,0.00,nonconfident_right,0
12.77,-10.02,4.21,-7.34,overconfident_wrong,1
34.43,-1.34,-23.70,-5.55,nonconfident_right,1
43.71,-18.42,0.00,0.00,overconfident_wrong,0
48.78,-31.29,0.00,0.00,confident_right,0
10.88,9.40,-24.00,4.23,nonconfident_right,1
49.20,-20.95,0.00,0.00,confident_right,0
31.15,-3.11,-33.02,8.13,confident_right,1
20.98,-0.75,-28.50,13.03,nonconfident_wrong,1
21.06,8.21,-25.00,9.14,nonconfident_right,1
53.84,-21.85,0.00,0.00,nonconfident_wrong,0
30.00,-1.33,-1.58,-6.92,confident_right,1
28.81,2.23,-32.38,10.26,nonconfident_right,1
28.99,-10.97,0.00,0.00,nonconfident_wrong,0
1.67,3.86,-8.07,3.28,nonconfident_wrong,1
38.15,-2.93,-33.36,8.34,nonconfident_right,1
42.94,-11.57,0.00,0.00,overconfident_wrong,0
23.47,3.46,-30.99,9.91,confident_right,1
37.41,-10.37,0.00,0.00,overconfident_wrong,0
30.11,-2.49,-37.66,11.99,nonconfident_right,1
10.44,-5.46,-18.82,14.14,confident_right,1
27.56,9.58,-27.42,-4.43,nonconfident_right,1
31.56,-4.57,-24.51,2.23,overconfident_wrong,1
33.25,8.76,-26.52,-20.98,confident_right,1
42.39,-2.34,-33.93,1.65,nonconfident_right,1
26.30,-7.37,-26.80,15.27,nonconfident_right,1
41.29,-5.31,-42.30,15.45,overconfident_wrong,1
34.04,-1.89,-35.82,13.52,confident_right,1
42.88,-7.01,-44.87,20.41,overconfident_wrong,1
40.86,1.31,-41.11,11.86,nonconfident_wrong,1
33.32,-5.66,-33.36,15.31,nonconfident_right,1
47.27,-10.75,0.00,0.00,nonconfident_wrong,0
