x,y,state
41.49,-8.03,nonconfident_wrong
45.24,-13.80,confident_right
36.38,-9.45,overconfident_wrong
39.18,-9.48,nonconfident_right
46.67,-11.75,confident_right
31.35,-8.48,nonconfident_right
33.06,-5.53,confident_right
40.96,-13.82,confident_right
37.85,-14.74,confident_right
42.30,-13.07,confident_right
29.28,5.76,nonconfident_wrong
44.90,-13.22,confident_right
24.69,7.34,nonconfident_wrong
47.25,-14.06,confident_right
45.81,-13.89,overconfident_wrong
40.16,-15.67,overconfident_wrong
32.14,-11.30,confident_right
33.40,-4.79,nonconfident_right
40.88,-17.84,confident_right
48.44,-24.50,confident_right
30.60,3.09,nonconfident_wrong
45.84,-12.35,confident_right
25.52,-8.97,nonconfident_wrong
40.96,-9.43,confident_right
47.62,-20.35,overconfident_wrong
26.37,1.40,confident_right
27.00,-7.26,confident_right
37.94,-11.00,nonconfident_wrong
37.15,-1.60,nonconfident_wrong
23.88,-10.24,nonconfident_wrong
45.76,-27.86,confident_right
31.73,-6.69,overconfident_wrong
25.66,-3.81,nonconfident_right
42.79,-18.07,confident_right
38.04,-9.22,nonconfident_right
30.08,0.75,nonconfident_wrong
30.18,-3.26,confident_right
44.40,-17.06,confident_right
34.58,-3.35,confident_right
48.37,-6.47,nonconfident_right
47.31,-10.41,confident_right
35.66,-6.33,nonconfident_right
37.50,-24.00,confident_right
27.91,3.11,overconfident_wrong
39.13,-2.90,confident_right
49.46,-21.13,confident_right
15.71,-12.14,nonconfident_wrong
47.42,-18.75,confident_right
34.44,-10.51,confident_right
42.57,-5.20,confident_right
42.06,-19.45,confident_right
34.80,-4.29,nonconfident_wrong
41.65,-9.42,overconfident_wrong
6.69,4.83,nonconfident_wrong
45.82,-10.69,nonconfident_wrong
39.85,-3.68,nonconfident_wrong
46.55,-23.80,nonconfident_wrong
37.65,-19.40,confident_right
37.83,-5.70,nonconfident_wrong
38.21,-1.17,confident_right
27.06,6.53,nonconfident_wrong
36.41,-2.64,nonconfident_wrong
32.08,-7.14,confident_right
43.64,-8.98,confident_right
35.87,7.89,confident_right
40.26,-12.99,nonconfident_wrong
42.64,-11.18,nonconfident_wrong
7.24,-0.74,overconfident_wrong
17.29,-2.72,nonconfident_right
36.76,-5.66,confident_right
36.14,-2.02,nonconfident_right
35.88,-9.30,nonconfident_right
36.26,-8.91,confident_right
36.06,-13.55,confident_right
36.70,-6.22,nonconfident_right
31.70,-4.93,nonconfident_wrong
44.14,-10.04,confident_right
50.16,-17.96,nonconfident_wrong
44.43,-13.61,confident_right
43.48,-16.34,confident_right
46.03,-17.15,nonconfident_wrong
0.33,-2.51,nonconfident_right
45.13,-24.79,confident_right
43.36,-30.01,confident_right
49.58,-21.15,confident_right
12.87,-3.76,nonconfident_right
32.83,-5.56,nonconfident_right
46.09,-11.88,confident_right
46.46,-16.30,confident_right
47.80,-24.07,confident_right
31.87,-2.51,nonconfident_right
24.71,1.35,confident_right
28.00,0.03,confident_right
36.41,-9.07,overconfident_wrong
38.89,-11.29,overconfident_wrong
41.79,-9.58,confident_right
49.33,-16.08,confident_right
37.19,-5.74,nonconfident_wrong
42.10,-6.59,overconfident_wrong
