x,y,u,v,state,changed
37.93,-5.48,-4.79,4.23,nonconfident_wrong,1
34.45,-1.99,-1.32,-0.26,nonconfident_wrong,1
31.17,12.09,1.74,-1.87,nonconfident_wrong,1
49.67,-20.12,0.00,0.00,nonconfident_wrong,0
32.96,-12.70,0.00,0.00,overconfident_wrong,0
33.40,4.80,-0.08,-0.35,overconfident_wrong,1
17.65,0.01,0.00,0.00,nonconfident_right,0
-0.57,7.05,0.00,0.00,nonconfident_wrong,0
-1.45,14.52,0.00,0.00,nonconfident_wrong,0
47.00,-15.76,0.00,0.00,confident_right,0
44.70,-26.83,0.00,0.00,nonconfident_right,0
16.89,4.27,0.00,0.00,nonconfident_wrong,0
39.60,-15.83,0.00,0.00,confident_right,0
37.01,-18.56,0.00,0.00,confident_right,0
14.00,-11.83,0.00,0.00,nonconfident_wrong,0
28.42,0.98,0.00,0.00,nonconfident_right,0
28.82,-1.71,0.00,0.00,overconfident_wrong,0
35.75,-9.86,0.00,0.00,confident_right,0
16.96,-2.89,0.00,0.00,confident_right,0
-4.14,6.92,0.00,0.00,nonconfident_wrong,0
17.33,7.74,0.00,0.00,nonconfident_right,0
36.33,-3.59,0.00,0.00,confident_right,0
33.43,-0.91,-2.43,7.12,confident_right,1
25.00,0.38,0.00,0.00,overconfident_wrong,0
37.92,-12.56,0.00,0.00,nonconfident_right,0
53.19,-20.57,0.00,0.00,nonconfident_wrong,0
36.87,-12.75,0.00,0.00,confident_right,0
36.85,-8.78,0.00,0.00,overconfident_wrong,0
41.99,0.09,-3.25,1.81,nonconfident_wrong,1
10.67,11.42,0.00,0.00,nonconfident_wrong,0
48.38,-8.93,-2.41,3.99,confident_right,1
10.06,4.79,0.00,0.00,nonconfident_right,0
31.44,13.06,10.40,-19.58,nonconfident_wrong,1
23.19,2.64,0.00,0.00,nonconfident_right,0
32.12,-6.90,0.00,0.00,confident_right,0
39.34,-7.20,0.00,0.00,nonconfident_wrong,0
39.49,11.68,0.01,-1.64,overconfident_wrong,1
34.99,3.27,-6.20,4.65,overconfident_wrong,1
47.29,-7.52,-2.60,2.06,overconfident_wrong,1
31.66,7.56,-3.57,1.97,nonconfident_wrong,1
14.31,1.59,0.00,0.00,nonconfident_wrong,0
46.97,-15.47,0.00,0.00,overconfident_wrong,0
33.59,-11.31,0.00,0.00,nonconfident_right,0
26.10,-3.12,0.00,0.00,confident_right,0
42.39,-12.41,0.00,0.00,confident_right,0
19.75,5.29,0.00,0.00,nonconfident_wrong,0
42.35,-3.26,-1.47,-1.35,confident_right,1
36.14,-7.69,0.00,0.00,overconfident_wrong,0
10.40,-1.49,0.00,0.00,nonconfident_wrong,0
21.93,3.43,0.00,0.00,nonconfident_wrong,0
45.60,-20.82,0.00,0.00,confident_right,0
29.58,0.27,0.00,0.00,overconfident_wrong,0
14.92,-13.21,0.00,0.00,overconfident_wrong,0
38.60,-7.03,0.00,0.00,confident_right,0
35.71,-5.12,0.00,0.00,nonconfident_right,0
53.99,-30.82,0.00,0.00,confident_right,0
